timestamp,prefecture,municipality_name,correct_reading,user_input,is_correct,is_correct_binary,knew_reading,time_to_first_input,total_response_time
2026-03-30T17:48:06.182642,熊本県,八代市,やつしろ,やしろ,不正解,0,いいえ,2409,5639
2026-03-30T18:03:29.732062,北海道,愛別町,あいべつ,あかん,不正解,0,はい,1680,24374
2026-03-30T18:06:32.941002,宮城県,栗原市,くりはら,くりはら,正解,1,いいえ,178235,181213
2026-03-30T18:06:40.013030,福岡県,鞍手町,くらて,あんて,不正解,0,いいえ,1349,5069
2026-03-30T18:06:45.239016,埼玉県,坂戸市,さかど,さかど,正解,1,いいえ,1091,3225
2026-03-30T18:06:52.538562,埼玉県,所沢市,ところざわ,ところざわ,正解,1,いいえ,1205,5297
2026-03-30T18:09:39.177292,秋田県,羽後町,うご,うご,正解,1,いいえ,1884,2804
2026-03-30T18:09:44.973001,長野県,喬木村,たかぎ,きょうき,不正解,0,いいえ,1803,3795
2026-03-30T18:09:51.751175,北海道,新篠津村,しんしのつ,しんささつ,不正解,0,いいえ,1324,4777
2026-03-30T18:09:57.420441,宮城県,大郷町,おおさと,おおごえ,不正解,0,いいえ,1210,3665
2026-03-30T18:10:02.269453,秋田県,能代市,のしろ,のよ,不正解,0,いいえ,1012,2849
2026-03-30T18:12:00.943970,富山県,富山市,とやま,とやま,正解,1,はい,1891,4814
2026-03-30T18:12:08.045800,兵庫県,猪名川町,いながわ,いながわ,正解,1,はい,1648,5100
2026-03-30T18:12:14.114341,山形県,鶴岡市,つるおか,つるおか,正解,1,はい,1363,4067
2026-03-30T18:12:19.217691,北海道,利尻町,りしり,りしり,正解,1,はい,960,3100
2026-03-30T18:12:25.168556,青森県,野辺地町,のへじ,のへち,不正解,0,いいえ,1849,3950
2026-03-30T18:12:56.818866,大阪府,寝屋川市,ねやがわ,ねやがわ,正解,1,はい,2311,4214
2026-03-30T18:13:01.136428,和歌山県,有田市,ありだ,ありた,不正解,0,はい,845,2312
2026-03-30T18:13:05.572818,大阪府,吹田市,すいた,すいた,正解,1,はい,951,2439
2026-03-30T18:13:14.078036,鹿児島県,いちき串木野市,いちきくしきの,いちきくしきの,正解,1,いいえ,2643,6504
2026-03-30T18:13:19.344315,長野県,山形村,やまがた,やまがた,正解,1,はい,1540,3264
2026-03-30T18:16:23.930305,兵庫県,宝塚市,たからづか,たからづか,正解,1,はい,1506,4049
2026-03-30T18:16:28.961102,岐阜県,川辺町,かわべ,かわべ,正解,1,はい,1368,3023
2026-03-30T18:16:34.272599,兵庫県,神河町,かみかわ,こうが,不正解,0,いいえ,1494,3316
2026-03-30T18:16:40.204750,兵庫県,宍粟市,しそう,しそう,正解,1,はい,2347,3931
2026-03-30T18:16:47.776671,京都府,向日市,むこう,ひなた,不正解,0,いいえ,2718,5567
2026-03-30T18:17:40.540230,長野県,松本市,まつもと,まつもと,正解,1,はい,1830,3816
2026-03-30T18:17:47.960618,秋田県,由利本荘市,ゆりほんじょう,ゆりほんじょう,正解,1,いいえ,2264,5725
2026-03-30T18:17:53.431287,北海道,音更町,おとふけ,おとさら,不正解,0,いいえ,1601,3466
2026-03-30T18:17:59.127472,北海道,滝上町,たきのうえ,たきうえ,不正解,0,いいえ,1031,3697
2026-03-30T18:18:05.114384,香川県,小豆島町,しょうどしま,いずしま,不正解,0,いいえ,2040,3984
