pref,name,suffix,reading
北海道,札幌,市,さっぽろ
北海道,函館,市,はこだて
北海道,小樽,市,おたる
北海道,旭川,市,あさひかわ
北海道,室蘭,市,むろらん
北海道,釧路,市,くしろ
北海道,帯広,市,おびひろ
北海道,北見,市,きたみ
北海道,夕張,市,ゆうばり
北海道,岩見沢,市,いわみざわ
北海道,網走,市,あばしり
北海道,留萌,市,るもい
北海道,苫小牧,市,とまこまい
北海道,稚内,市,わっかない
北海道,美唄,市,びばい
北海道,芦別,市,あしべつ
北海道,江別,市,えべつ
北海道,赤平,市,あかびら
北海道,紋別,市,もんべつ
北海道,士別,市,しべつ
北海道,名寄,市,なよろ
北海道,三笠,市,みかさ
北海道,根室,市,ねむろ
北海道,千歳,市,ちとせ
北海道,滝川,市,たきかわ
北海道,砂川,市,すながわ
北海道,歌志内,市,うたしない
北海道,深川,市,ふかがわ
北海道,富良野,市,ふらの
北海道,登別,市,のぼりべつ
北海道,恵庭,市,えにわ
北海道,伊達,市,だて
北海道,北広島,市,きたひろしま
北海道,石狩,市,いしかり
北海道,北斗,市,ほくと
北海道,当別,町,とうべつ
北海道,新篠津,村,しんしのつ
北海道,松前,町,まつまえ
北海道,福島,町,ふくしま
北海道,知内,町,しりうち
北海道,木古内,町,きこない
北海道,七飯,町,ななえ
北海道,鹿部,町,しかべ
北海道,森,町,もり
北海道,八雲,町,やくも
北海道,長万部,町,おしゃまんべ
北海道,江差,町,えさし
北海道,上ノ国,町,かみのくに
北海道,厚沢部,町,あっさぶ
北海道,乙部,町,おとべ
北海道,奥尻,町,おくしり
北海道,今金,町,いまかね
北海道,島牧,村,しままき
北海道,寿都,町,すっつ
北海道,黒松内,町,くろまつない
北海道,蘭越,町,らんこし
北海道,真狩,村,まっかり
北海道,留寿都,村,るすつ
北海道,喜茂別,町,きもべつ
北海道,京極,町,きょうごく
北海道,倶知安,町,くっちゃん
北海道,共和,町,きょうわ
北海道,岩内,町,いわない
北海道,泊,村,とまり
北海道,神恵内,村,かもえない
北海道,積丹,町,しゃこたん
北海道,古平,町,ふるびら
北海道,仁木,町,にき
北海道,余市,町,よいち
北海道,赤井川,村,あかいがわ
北海道,南幌,町,なんぽろ
北海道,奈井江,町,ないえ
北海道,上砂川,町,かみすながわ
北海道,由仁,町,ゆに
北海道,長沼,町,ながぬま
北海道,栗山,町,くりやま
北海道,月形,町,つきがた
北海道,浦臼,町,うらうす
北海道,新十津川,町,しんとつかわ
北海道,妹背牛,町,もせうし
北海道,秩父別,町,ちっぷべつ
北海道,雨竜,町,うりゅう
北海道,北竜,町,ほくりゅう
北海道,沼田,町,ぬまた
北海道,鷹栖,町,たかす
北海道,東神楽,町,ひがしかぐら
北海道,当麻,町,とうま
北海道,比布,町,ぴっぷ
北海道,愛別,町,あいべつ
北海道,上川,町,かみかわ
北海道,東川,町,ひがしかわ
北海道,美瑛,町,びえい
北海道,上富良野,町,かみふらの
北海道,中富良野,町,なかふらの
北海道,南富良野,町,みなみふらの
北海道,占冠,村,しむかっぷ
北海道,和寒,町,わっさむ
北海道,剣淵,町,けんぶち
北海道,下川,町,しもかわ
北海道,美深,町,びふか
北海道,音威子府,村,おといねっぷ
北海道,中川,町,なかがわ
北海道,幌加内,町,ほろかない
北海道,増毛,町,ましけ
北海道,小平,町,おびら
北海道,苫前,町,とままえ
北海道,羽幌,町,はぼろ
北海道,初山別,村,しょさんべつ
北海道,遠別,町,えんべつ
北海道,天塩,町,てしお
北海道,猿払,村,さるふつ
北海道,浜頓別,町,はまとんべつ
北海道,中頓別,町,なかとんべつ
北海道,枝幸,町,えさし
北海道,豊富,町,とよとみ
北海道,礼文,町,れぶん
北海道,利尻,町,りしり
北海道,利尻富士,町,りしりふじ
北海道,幌延,町,ほろのべ
北海道,美幌,町,びほろ
北海道,津別,町,つべつ
北海道,斜里,町,しゃり
北海道,清里,町,きよさと
北海道,小清水,町,こしみず
北海道,訓子府,町,くんねっぷ
北海道,置戸,町,おけと
北海道,佐呂間,町,さろま
北海道,遠軽,町,えんがる
北海道,湧別,町,ゆうべつ
北海道,滝上,町,たきのうえ
北海道,興部,町,おこっぺ
北海道,西興部,村,にしおこっぺ
北海道,雄武,町,おうむ
北海道,大空,町,おおぞら
北海道,豊浦,町,とようら
北海道,壮瞥,町,そうべつ
北海道,白老,町,しらおい
北海道,厚真,町,あつま
北海道,洞爺湖,町,とうやこ
北海道,安平,町,あびら
北海道,日高,町,ひだか
北海道,平取,町,びらとり
北海道,新冠,町,にいかっぷ
北海道,浦河,町,うらかわ
北海道,様似,町,さまに
北海道,新ひだか,町,しんひだか
北海道,音更,町,おとふけ
北海道,士幌,町,しほろ
北海道,上士幌,町,かみしほろ
北海道,鹿追,町,しかおい
北海道,新得,町,しんとく
北海道,清水,町,しみず
北海道,芽室,町,めむろ
北海道,中札内,村,なかさつない
北海道,更別,村,さらべつ
北海道,大樹,町,たいき
北海道,広尾,町,ひろお
北海道,幕別,町,まくべつ
北海道,池田,町,いけだ
北海道,豊頃,町,とよころ
北海道,本別,町,ほんべつ
北海道,足寄,町,あしょろ
北海道,陸別,町,りくべつ
北海道,浦幌,町,うらほろ
北海道,厚岸,町,あっけし
北海道,浜中,町,はまなか
北海道,標茶,町,しべちゃ
北海道,弟子屈,町,てしかが
北海道,鶴居,村,つるい
北海道,白糠,町,しらぬか
北海道,別海,町,べつかい
北海道,中標津,町,なかしべつ
北海道,標津,町,しべつ
北海道,羅臼,町,らうす
北海道,色丹,村,しこたん
北海道,留夜別,村,るやべつ
北海道,留別,村,るべつ
北海道,紗那,村,しゃな
北海道,蘂取,村,しべとろ
青森県,青森,市,あおもり
青森県,弘前,市,ひろさき
青森県,八戸,市,はちのへ
青森県,黒石,市,くろいし
青森県,五所川原,市,ごしょがわら
青森県,十和田,市,とわだ
青森県,三沢,市,みさわ
青森県,平川,市,ひらかわ
青森県,平内,町,ひらない
青森県,今別,町,いまべつ
青森県,蓬田,村,よもぎた
青森県,外ヶ浜,町,そとがはま
青森県,鰺ヶ沢,町,あじがさわ
青森県,深浦,町,ふかうら
青森県,西目屋,村,にしめや
青森県,藤崎,町,ふじさき
青森県,大鰐,町,おおわに
青森県,田舎館,村,いなかだて
青森県,板柳,町,いたやなぎ
青森県,鶴田,町,つるた
青森県,中泊,町,なかどまり
青森県,野辺地,町,のへじ
青森県,七戸,町,しちのへ
青森県,六戸,町,ろくのへ
青森県,横浜,町,よこはま
青森県,東北,町,とうほく
青森県,六ヶ所,村,ろっかしょ
青森県,大間,町,おおま
青森県,東通,村,ひがしどおり
青森県,風間浦,村,かざまうら
青森県,佐井,村,さい
青森県,三戸,町,さんのへ
青森県,五戸,町,ごのへ
青森県,田子,町,たっこ
青森県,南部,町,なんぶ
青森県,階上,町,はしかみ
青森県,新郷,村,しんごう
岩手県,盛岡,市,もりおか
岩手県,宮古,市,みやこ
岩手県,大船渡,市,おおふなと
岩手県,花巻,市,はなまき
岩手県,北上,市,きたかみ
岩手県,久慈,市,くじ
岩手県,遠野,市,とおの
岩手県,一関,市,いちのせき
岩手県,陸前高田,市,りくぜんたかた
岩手県,釜石,市,かまいし
岩手県,二戸,市,にのへ
岩手県,八幡平,市,はちまんたい
岩手県,奥州,市,おうしゅう
岩手県,滝沢,市,たきざわ
岩手県,雫石,町,しずくいし
岩手県,葛巻,町,くずまき
岩手県,岩手,町,いわて
岩手県,紫波,町,しわ
岩手県,矢巾,町,やはば
岩手県,西和賀,町,にしわが
岩手県,金ケ崎,町,かねがさき
岩手県,平泉,町,ひらいずみ
岩手県,住田,町,すみた
